Columna,Proporci贸n 2019,Proporci贸n 2024,Diferencia de proporciones,P-value,Intervalo de confianza (95%),Progreso
"A lo largo de tu carrera en INVAP, 驴has experimentado alguna vez una situaci贸n de violencia hacia vos?",0.399182561,0.338645418,-0.060537143,0.029442144,"(-0.11502613868581504, -0.0060481472766023905)",Disminuci髇
Edad (disc),0.132152589,0.241035857,0.108883268,1.83E-06,"(0.06416049131100998, 0.15360604472468375)",Aumento
Discapacidad,0.006811989,0.019920319,0.01310833,0.058773648,"(-0.0004860875293333615, 0.026702746777897687)",Nulo
Sexo/Genero,0.147138965,0.225099602,0.077960637,0.000617171,"(0.03333385704404136, 0.12258741698789626)",Aumento
Orientaci贸n Sexual,0.014986376,0.03187251,0.016886134,0.061543743,"(-0.0008164599218630879, 0.03458872779858509)",Nulo
Religi贸n,0.023160763,0.053784861,0.030624098,0.007734413,"(0.00808860776066157, 0.053159587469317704)",Aumento
Orientaci贸n pol铆tica,0.125340599,0.292828685,0.167488086,1.60E-12,"(0.12102948962423776, 0.21394668198360883)",Aumento
Origen Social,0.04359673,0.067729084,0.024132353,0.074110541,"(-0.002351627003051006, 0.050616333843265075)",Nulo
Relaci贸n de parentezco,0.029972752,0.059760956,0.029788204,0.01552955,"(0.005660552069536036, 0.05391585619386812)",Aumento
Formaci贸n Academica,0.217983651,0.280876494,0.062892843,0.01253885,"(0.01351871223577638, 0.11226697335971625)",Aumento
TestigoI,0.419618529,0.390438247,-0.029180282,0.303996903,"(-0.08482023189133721, 0.02645966869453316)",Nulo
TestigoII,0.430517711,0.374501992,-0.056015719,0.047743636,"(-0.11147459803495008, -0.0005568402446291046)",Disminuci髇
VictimasI,0.651226158,0.503984064,-0.147242094,2.20E-07,"(-0.2029346925116206, -0.09154949607463375)",Disminuci髇
VictimasII,0.640326975,0.472111554,-0.168215422,3.43E-09,"(-0.22400490103960108, -0.11242594234435625)",Disminuci髇
VL1,0.408719346,0.274900398,-0.133818948,6.86E-07,"(-0.1866406058092403, -0.08099728947610335)",Disminuci髇
VL2,0.205722071,0.14940239,-0.05631968,0.009821773,"(-0.09907055743062981, -0.01356880338224948)",Disminuci髇
VL3,0.201634877,0.163346614,-0.038288264,0.084177209,"(-0.0817427674655689, 0.005166239788809965)",Nulo
VL4,0.032697548,0.037848606,0.005151058,0.631922178,"(-0.015924934983188345, 0.026227050770719428)",Nulo
VL5,0.080381471,0.087649402,0.007267931,0.652181944,"(-0.0243358804877475, 0.038871742489332464)",Nulo
VL6,0.134877384,0.145418327,0.010540942,0.601113464,"(-0.028976787169165123, 0.05005867216324877)",Nulo
VL7,0.061307902,0.113545817,0.052237915,0.001760536,"(0.01950538524353477, 0.08497044440788679)",Aumento
VL8,0.231607629,0.09561753,-0.1359901,2.43E-11,"(-0.1759041513849643, -0.09607604770966538)",Disminuci髇
VL9,0.286103542,0.231075697,-0.055027845,0.028631407,"(-0.10430880428050708, -0.005746885765847046)",Disminuci髇
VL10,0.057220708,0.043824701,-0.013396007,0.284971945,"(-0.03795200867513594, 0.011159994171841228)",Nulo
VL12,0.410081744,0.252988048,-0.157093696,3.38E-09,"(-0.2091730188962569, -0.10501437322463286)",Disminuci髇
VL13,0.395095368,0.310756972,-0.084338396,0.002105413,"(-0.1380955229572387, -0.03058126851447661)",Disminuci髇
VL14,0.092643052,0.14940239,0.056759339,0.003075412,"(0.019177387042517514, 0.09434129029174221)",Aumento
VL15,0.183923706,0.163346614,-0.020577092,0.34597412,"(-0.06337124370161254, 0.02221705934910432)",Nulo
VL16,0.029972752,0.035856574,0.005883822,0.5721252,"(-0.014529668977956343, 0.026297312301121457)",Nulo
VL17,0.049046322,0.069721116,0.020674794,0.136439452,"(-0.006536018282759702, 0.04788560630668578)",Nulo
VL18,0.046321526,0.051792829,0.005471303,0.663378344,"(-0.019166186422998516, 0.03010879202239929)",Nulo
VL19,0.039509537,0.053784861,0.014275324,0.248585664,"(-0.009974396137865854, 0.038525043683921414)",Nulo
VL20,0.130790191,0.115537849,-0.015252342,0.420468239,"(-0.052359716960018766, 0.02185503269978451)",Nulo
VL21,0.103542234,0.089641434,-0.0139008,0.413548758,"(-0.04722139283721142, 0.0194197926982577)",Nulo
VL22,0.024523161,0.017928287,-0.006594874,0.42271106,"(-0.022717219754400424, 0.009527471933694149)",Nulo
VL23,0.20027248,0.155378486,-0.044893994,0.04037363,"(-0.08781821625986666, -0.00196977075664493)",Disminuci髇
