Columna,Proporci贸n 2019,Proporci贸n 2024,Diferencia de proporciones,P-value,Intervalo de confianza (95%),Progreso
"A lo largo de tu carrera en INVAP, 驴has experimentado alguna vez una situaci贸n de violencia hacia vos?",0.59,0.491428571,-0.098571429,0.054946673,"(-0.1992314008453045, 0.002088543702447432)",Nulo
Edad (disc),0.21,0.354285714,0.144285714,0.001800027,"(0.05368656232362318, 0.23488486624780536)",Aumento
Discapacidad,0.005,0.022857143,0.017857143,0.148171446,"(-0.0063467714936104765, 0.042061057207896185)",Nulo
Sexo/Genero,0.48,0.571428571,0.091428571,0.075579458,"(-0.009417564042840373, 0.19227470689998322)",Nulo
Orientaci贸n Sexual,0.01,0.017142857,0.007142857,0.554123036,"(-0.016521618741836643, 0.030807333027550933)",Nulo
Religi贸n,0.03,0.062857143,0.032857143,0.1345399,"(-0.010177633040392778, 0.0758919187546785)",Nulo
Orientaci贸n pol铆tica,0.1,0.285714286,0.185714286,3.85E-06,"(0.1069203022591867, 0.2645082691693847)",Aumento
Origen Social,0.045,0.068571429,0.023571429,0.327637865,"(-0.023624362958935892, 0.07076722010179304)",Nulo
Relaci贸n de parentezco,0.055,0.097142857,0.042142857,0.126605835,"(-0.011927034248636816, 0.0962127485343511)",Nulo
Formaci贸n Academica,0.295,0.371428571,0.076428571,0.116737405,"(-0.01906786118717818, 0.1719250040443211)",Nulo
TestigoI,0.46,0.497142857,0.037142857,0.472295843,"(-0.06414243782716825, 0.13842815211288254)",Nulo
TestigoII,0.5,0.451428571,-0.048571429,0.346776718,"(-0.14975361546413318, 0.052610758321275986)",Nulo
VictimasI,0.765,0.645714286,-0.119285714,0.01109629,"(-0.21134388905545287, -0.02722753951597577)",Disminuci髇
VictimasII,0.77,0.645714286,-0.124285714,0.007950562,"(-0.21606440478742583, -0.032507023784002845)",Disminuci髇
VL1,0.45,0.342857143,-0.107142857,0.032987291,"(-0.2056291177450228, -0.008656596540691508)",Disminuci髇
VL2,0.3,0.228571429,-0.071428571,0.115329264,"(-0.16033363040869425, 0.017476487551551415)",Nulo
VL3,0.275,0.217142857,-0.057857143,0.192194172,"(-0.14481102674310659, 0.029096741028820816)",Nulo
VL4,0.04,0.051428571,0.011428571,0.598379128,"(-0.031096949589831772, 0.053954092446974626)",Nulo
VL5,0.105,0.108571429,0.003571429,0.911088401,"(-0.059114475619388346, 0.06625733276224549)",Nulo
VL6,0.145,0.171428571,0.026428571,0.484858506,"(-0.047727950176929795, 0.10058509303407268)",Nulo
VL7,0.075,0.125714286,0.050714286,0.104330456,"(-0.01048347698658559, 0.11191204841515703)",Nulo
VL8,0.325,0.148571429,-0.176428571,3.54E-05,"(-0.2600370715534128, -0.09282007130373006)",Disminuci髇
VL9,0.39,0.348571429,-0.041428571,0.406127543,"(-0.13917241666452307, 0.05631527380738023)",Nulo
VL10,0.155,0.097142857,-0.057857143,0.08882254,"(-0.1244974413953557, 0.008783155681069993)",Nulo
VL12,0.465,0.365714286,-0.099285714,0.050146475,"(-0.19863486955897647, 6.3440987547847e-05)",Nulo
VL13,0.505,0.394285714,-0.110714286,0.030370789,"(-0.21093317552309918, -0.010495395905472243)",Disminuci髇
VL14,0.18,0.274285714,0.094285714,0.029467413,"(0.00940668963399921, 0.1791647389374294)",Aumento
VL15,0.21,0.217142857,0.007142857,0.866333485,"(-0.0760317408588163, 0.09031745514453059)",Nulo
VL16,0.05,0.057142857,0.007142857,0.759709648,"(-0.03862856412412025, 0.05291427840983453)",Nulo
VL17,0.115,0.131428571,0.016428571,0.629726197,"(-0.050359624115404275, 0.08321676697254711)",Nulo
VL18,0.14,0.131428571,-0.008571429,0.808765241,"(-0.07798611661868178, 0.0608432594758246)",Nulo
VL19,0.085,0.108571429,0.023571429,0.442469721,"(-0.03658141358706013, 0.08372427072991726)",Nulo
VL20,0.385,0.28,-0.105,0.029816193,"(-0.19972680519678093, -0.010273194803219018)",Disminuci髇
VL21,0.285,0.188571429,-0.096428571,0.026679549,"(-0.1817090950843629, -0.01114804777277989)",Disminuci髇
VL22,0.065,0.022857143,-0.042142857,0.042481796,"(-0.08285644800478266, -0.0014292662809316375)",Disminuci髇
VL23,0.27,0.262857143,-0.007142857,0.875921999,"(-0.09680384392881859, 0.08251812964310425)",Nulo
